"Time Series Data"
"DBKEY","STATION","TYPE","UNITS","FQ","STAT","STRATA","OPNUM","RCDR","AGENCY","START","END","CNTY","LAT","LONG","SEC","TWP","RNG","ALTERNATE ID"
"91475","S30_C","FLOW","cfs","DA","MEAN","0","","DRV","WMD","1968","2025","BRO","255724","802552","3","52","39","S30-C-Q",
 
"Station","DBKEY","Daily Date","Data Value","Qualifier","Revision Date"
"S30_C","91475","23-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","24-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","25-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","26-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","27-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","28-FEB-1969","0","","09-FEB-2018"
"S30_C","91475","01-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","02-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","03-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","04-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","05-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","06-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","07-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","08-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","09-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","10-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","11-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","12-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","13-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","14-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","15-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","16-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","17-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","18-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","19-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","20-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","21-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","22-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","23-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","24-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","25-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","26-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","27-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","28-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","29-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","30-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","31-MAR-1969","0","","09-FEB-2018"
"S30_C","91475","01-APR-1969","0","","09-FEB-2018"
"S30_C","91475","02-APR-1969","0","","09-FEB-2018"
"S30_C","91475","03-APR-1969","0","","09-FEB-2018"
"S30_C","91475","04-APR-1969","0","","09-FEB-2018"
"S30_C","91475","05-APR-1969","0","","09-FEB-2018"
"S30_C","91475","06-APR-1969","0","","09-FEB-2018"
"S30_C","91475","07-APR-1969","0","","09-FEB-2018"
"S30_C","91475","08-APR-1969","0","","09-FEB-2018"
"S30_C","91475","09-APR-1969","0","","09-FEB-2018"
"S30_C","91475","10-APR-1969","0","","09-FEB-2018"
"S30_C","91475","11-APR-1969","0","","09-FEB-2018"
"S30_C","91475","12-APR-1969","0","","09-FEB-2018"
"S30_C","91475","13-APR-1969","0","","09-FEB-2018"
"S30_C","91475","14-APR-1969","0","","09-FEB-2018"
"S30_C","91475","15-APR-1969","0","","09-FEB-2018"
"S30_C","91475","16-APR-1969","0","","09-FEB-2018"
"S30_C","91475","17-APR-1969","0","","09-FEB-2018"
"S30_C","91475","18-APR-1969","0","","09-FEB-2018"
"S30_C","91475","19-APR-1969","0","","09-FEB-2018"
"S30_C","91475","20-APR-1969","0","","09-FEB-2018"
"S30_C","91475","21-APR-1969","0","","09-FEB-2018"
"S30_C","91475","22-APR-1969","0","","09-FEB-2018"
"S30_C","91475","23-APR-1969","0","","09-FEB-2018"
"S30_C","91475","24-APR-1969","0","","09-FEB-2018"
"S30_C","91475","25-APR-1969","0","","09-FEB-2018"
"S30_C","91475","26-APR-1969","0","","09-FEB-2018"
"S30_C","91475","27-APR-1969","0","","09-FEB-2018"
"S30_C","91475","28-APR-1969","0","","09-FEB-2018"
"S30_C","91475","29-APR-1969","0","","09-FEB-2018"
"S30_C","91475","30-APR-1969","0","","09-FEB-2018"
"S30_C","91475","01-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","02-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","03-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","04-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","05-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","06-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","07-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","08-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","09-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","10-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","11-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","12-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","13-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","14-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","15-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","16-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","17-MAY-1969","0","","09-FEB-2018"
"S30_C","91475","18-MAY-1969","0","","09-FEB-2018"
